DateTime,B50D0013-001,B49G0162-001,B50A0232-001,B44D0555-001,B50E0200-001,B50A0234-001,B50E0379-001,B43H0257-001,B50G0045-001,B44G0066-001,B44H0174-001,B50D0066-001,B49D0095-001,B43G0389-001,B49G0229-001,B50C0078-001,B50E0326-001,B49H0007-001,B44C0113-001,B49G0959-001,B50E0201-001,B50D0004-001,B49F1427-001,B43G0110-001,B44G0514-001,B50B0581-001,B43H0261-001,B44A0480-001,B44G0563-001,B50G0044-001,B43H0063-001,B43H0046-001,B49G0165-001,B44G0310-001,B49F0434-001,B50G0093-001,B49G0166-001,B44G0449-001,B44G0058-001,B43H0256-001,B44D0720-001,B44G0311-001,B50B1279-001,B49G0147-001,B50C0079-001,B50B0582-001,B44G0515-001,B49G0228-001,B49B0610-001,B43G0390-001,B50B0493-001,B43G1173-001,B49D0061-001,B50C0029-001,B44C0214-001,B50C0028-001,B44G0499-001,B49G0138-001,B44C0212-001,B49G0451-001,B43D0017-001,B49E0300-001,B50B0215-001,B49G0098-001,B50A0149-001,B49G0161-001,B50A0233-001,B44E0224-001,B50G0046-001
2010-01-01,14.88,,,-1.7,,,,,,,,13.942,,-0.66,,,,,,,,14.88,,,,12.51,-1.25,,,22.99,-1.0,-0.31,,,4.46,20.79,,,,,-1.7,,,,,3.13,,,,,13.57,,,,,,,1.84,,,,,,0.88,,,10.02,0.4,16.72
2010-01-02,14.83,,,-1.7,,,,,,,,13.938,,-0.69,,,,,,,,14.87,,,,12.5,-1.28,,,22.92,-1.03,-0.33,,,4.44,20.8,,,,,-1.69,,,,,3.08,,,,,13.54,,,,,,,1.83,,,,,,0.87,,,9.98,0.38,16.71
2010-01-03,14.83,,,-1.69,,,,,,,,13.929,,-0.68,,,,,,,,14.87,,,,12.49,-1.27,,,22.89,,-0.34,,,,20.82,,,,,-1.71,,,,,3.07,,,,,13.53,,,,,,,1.83,,,,,,0.86,,,9.98,0.34,16.73
2010-01-04,14.82,,,-1.71,,,,,,,,13.93,,-0.68,,,,,,,,14.89,,,,12.49,-1.27,,,22.87,-1.03,-0.33,,,4.44,20.83,,,,,-1.7,,,,,3.06,,,,,13.53,,,,,,,1.84,,,,,,,,,,0.33,16.75
2010-01-05,14.78,,,-1.7,,,,,,,,13.929,,-0.71,,,,,,,,14.89,,,,12.47,-1.29,,,22.83,-1.05,-0.32,,,4.42,,,,,,-1.71,,,,,3.05,,,,,13.5,,,,,,,1.83,,,,,,0.86,,,,0.31,16.75
2010-01-06,14.73,,,-1.73,,,,,,,,13.926,,-0.72,,,,,,,,14.86,,,,12.45,-1.32,,,22.78,-1.08,-0.33,,,4.39,20.84,,,,,-1.71,,,,,3.01,,,,,13.46,,,,,,,1.81,,,,,,0.85,,,,0.25,16.72
2010-01-07,14.67,,,-1.76,,,,,,,,13.915,,-0.73,,,,,,,,14.82,,,,12.42,-1.34,,,22.74,-1.12,-0.36,,,4.35,20.85,,,,,-1.72,,,,,2.96,,,,,13.43,,,,,,,1.79,,,,,,0.83,,,9.84,0.19,16.69
2010-01-08,14.67,,,-1.72,,,,,,,,13.917,,-0.72,,,,,,,,14.81,,,,,-1.33,,,22.72,,-0.37,,,4.34,20.86,,,,,-1.7,,,,,2.95,,,,,13.44,,,,,,,1.8,,,,,,0.82,,,9.85,0.16,
2010-01-09,14.64,,,-1.73,,,,,,,,13.922,,-0.72,,,,,,,,14.8,,,,,-1.34,,,22.7,-1.12,-0.38,,,4.32,20.87,,,,,,,,,,2.95,,,,,,,,,,,,1.8,,,,,,0.82,,,9.84,0.13,16.69
2010-01-10,14.61,,,-1.75,,,,,,,,13.924,,-0.73,,,,,,,,14.78,,,,12.42,-1.35,,,22.68,-1.14,-0.38,,,4.31,20.87,,,,,-1.7,,,,,2.92,,,,,13.44,,,,,,,1.79,,,,,,0.81,,,9.82,0.1,16.68
2010-01-11,14.62,,,-1.75,,,,,,,,13.926,,-0.72,,,,,,,,14.78,,,,12.44,-1.34,,,22.68,-1.13,-0.39,,,4.31,20.88,,,,,-1.69,,,,,2.91,,,,,13.47,,,,,,,1.8,,,,,,0.81,,,9.84,0.1,16.69
2010-01-12,14.63,2.12,,-1.76,,,,,,3.97,,13.927,,-0.72,5.39,,,,,,,14.8,,,,12.42,-1.34,,,22.7,-1.12,-0.37,,,4.32,20.89,,,6.27,,-1.7,,,,,2.91,,,,,13.47,,,,,,,1.8,,,,,,0.82,,,9.84,0.13,16.72
2010-01-13,14.59,,5.03,-1.75,17.51,5.17,,,,,,13.925,,-0.73,,6.31,,12.35,,,,14.79,,,,12.42,-1.36,-1.24,,22.67,-1.14,-0.37,,,4.3,20.9,,2.75,,,-1.69,0.38,,,9.77,2.9,,10.03,,,13.44,,0.33,8.86,,10.49,4.04,1.79,,,0.41,-0.71,,0.81,7.51,,9.8,0.09,16.7
2010-01-14,14.53,,,-1.75,,,,,,,,13.921,,-0.75,,,,,,,,14.75,,,,12.41,-1.38,,,22.64,-1.18,-0.39,,,4.28,20.89,,,,,-1.7,,,,,2.87,,,,,13.42,,,,,,,1.78,,,,,,0.8,,,9.78,0.06,16.66
2010-01-15,14.58,,,-1.73,,,,,,,,13.925,,-0.7,,,,,,,,14.76,,,,12.51,-1.36,,,22.67,-1.15,-0.4,,,4.32,20.91,,,,,-1.67,,,,,2.9,,,,,13.56,,,,,,,1.81,,,,,,0.8,,,9.87,,16.69
2010-01-16,14.64,,,-1.68,,,,,,,,13.942,,-0.51,,,,,,,,,,,,12.52,-1.24,,,22.84,-1.03,-0.38,,,4.45,20.9,,,,,-1.65,,,,,2.97,,,,,13.68,,,,,,,1.86,,,,,,0.81,,,10.04,,16.73
2010-01-17,14.75,,,-1.71,,,,,,,,13.944,,-0.61,,,,,,,15.09,,,,,12.52,-1.19,,,22.95,-0.96,-0.4,,,4.47,20.91,,,,,-1.68,,,,,3.07,,,,,13.63,,,,,,,1.83,,,,,,,,,10.03,0.52,16.73
2010-01-18,14.81,,,-1.72,,,,,,,,13.941,,-0.64,,,,,,,,14.83,,,,12.53,-1.23,,,23.0,-0.98,-0.41,,-0.69,4.47,20.92,,,,,-1.68,,,,,3.1,,,,,13.63,,,,,,,1.84,,,,,,0.81,,,,0.54,16.76
2010-01-19,14.86,,,-1.72,,,,,,,,13.939,,-0.65,,,,,,,,14.87,,,,12.52,-1.23,,,23.01,-0.97,-0.39,,,4.48,20.93,,,,,-1.69,,,,,3.12,,,,,13.61,,,,,,,1.84,,,,,,0.82,,,10.03,0.53,16.8
2010-01-20,14.81,,,-1.75,,,,,,,,13.936,,-0.68,,,,,,,,,,,,12.49,-1.27,,,22.94,-1.02,-0.39,,,4.44,20.93,,,,,-1.69,,,,,3.06,,,,,13.54,,,,,,,1.81,,,,,,0.81,,,9.96,0.5,16.78
2010-01-21,14.8,,,-1.73,,,,,,,,13.934,,-0.7,,,,,,,,14.87,,,,12.48,-1.28,,,22.91,-1.05,-0.4,,,4.43,20.94,,,,,-1.7,,,,,3.04,,,,,13.52,,,,,,,,,,,,,0.81,,,9.94,0.48,
2010-01-22,14.79,,,-1.73,,,,,,,,13.931,,-0.7,,,,,,,,14.88,,,,12.48,-1.29,,,22.88,-1.06,-0.4,,,4.42,20.95,,,,,-1.71,,,,,3.03,,,,,13.51,,,,,,,1.81,,,,,,0.8,,,9.93,0.45,16.78
2010-01-23,14.79,,,-1.72,,,,,,,,13.939,,-0.6,,,,,,,,,,,,12.52,-1.28,,,22.89,-1.04,-0.39,,,4.49,,,,,,-1.69,,,,,3.01,,,,,13.56,,,,,,,1.83,,,,,,,,,,0.5,16.79
2010-01-24,14.8,,,-1.7,,,,,,,,13.944,,-0.64,,,,,,,,14.88,,,,12.51,-1.28,,,22.87,-1.04,-0.4,,,4.48,20.95,,,,,-1.69,,,,,3.03,,,,,13.57,,,,,,3.99,1.81,,,,,,0.8,,,,0.49,16.79
2010-01-25,14.76,,,-1.73,,,,,,,,13.937,,-0.68,,,,,,,,14.86,,,,12.47,-1.3,-1.31,,22.82,-1.07,-0.43,,,4.44,20.96,,,,,-1.71,,,,,3.01,,,,,13.49,,,,,,,1.79,,,,,,0.79,,,9.95,0.36,16.76
2010-01-26,14.78,,,-1.72,,,,,,4.0,,13.926,,-0.68,,,,,,,,14.87,,,,12.45,-1.29,,,22.8,-1.06,-0.43,,,4.44,20.98,,,6.32,,-1.73,,,,,3.0,,,,,13.49,,,,,,,1.8,,,,,,0.79,,,9.96,0.27,16.78
2010-01-27,14.8,,5.07,,17.65,5.25,,,,,,13.932,,-0.66,5.42,6.35,,13.17,,,,14.92,,,,12.51,-1.28,,,22.8,-1.03,-0.39,,,4.5,20.99,,,,,-1.7,0.41,,,9.74,3.03,,,,,13.54,,,9.0,,10.59,,1.83,,,0.49,-0.68,,0.81,7.63,,10.03,0.27,16.83
2010-01-28,14.87,,,-1.72,,,,,,,,13.946,,-0.53,,,,,,,,,,,,12.56,-1.24,,,22.88,-0.99,-0.34,,,4.54,21.01,,,,,-1.68,,,,,3.07,,,,,13.68,,0.49,,,,,1.87,,,,,,0.83,,,10.15,0.5,16.89
2010-01-29,14.86,,,-1.7,,,,,,,,13.952,,-0.62,,,,,,,,14.96,,,,12.52,-1.26,,,22.94,-0.99,-0.32,,,4.54,20.99,,,,,-1.69,,,,,,,,,,13.63,,,,,,,1.84,,,,,,0.83,,,10.12,0.5,16.87
2010-01-30,14.86,,,-1.7,,,,,,,,13.947,,-0.64,,,,,,,,14.95,,,,,-1.27,,,22.92,-1.02,-0.33,,,,21.0,,,,,,,,,,3.07,,,,,13.59,,,,,,,1.83,,,,,,0.82,,,10.08,0.51,16.86
2010-01-31,14.85,,,-1.71,,,,,,,,13.943,,-0.64,,,,,,,,14.94,,,,12.52,-1.28,,,22.91,-1.04,,,,,21.01,,,,,,,,,,3.06,,,,,13.58,,,,,,,1.83,,,,,,,,,,0.51,16.85
2010-02-01,14.91,,,-1.7,,,,,,,,13.947,,-0.59,,,,,,,,14.95,,,,12.57,-1.23,,,22.97,-0.99,-0.33,,,,21.03,,,,,-1.69,,,,,3.09,,,,,13.65,,,,,,,1.85,,,,,,0.82,,,10.14,0.53,16.87
2010-02-02,15.02,,,-1.59,,,,,,,,13.963,,-0.55,,,,,,,,,,,,12.57,-1.13,,,23.14,-0.9,-0.32,,,4.63,21.02,,,,,-1.66,,,,,3.22,,,,,13.74,,,,,,,1.89,,,,,,0.85,,,10.24,0.54,16.89
2010-02-03,15.05,,,-1.65,,,,,,,,13.96,,-0.61,,,,,,,,14.99,,,,12.56,-1.19,,,23.14,-0.92,-0.32,,,4.61,21.03,,,,,-1.69,,,,,3.26,,,,,13.68,,,,,,,1.87,,,,,,0.86,,,10.23,0.56,16.9
2010-02-04,15.06,,,-1.66,,,,,,,,13.952,,-0.63,,,,,,,,15.01,,,,12.56,-1.2,,,23.12,-0.94,-0.3,,,,21.04,,,,,-1.7,,,,,3.25,,,,,13.65,,,,,,,1.87,,,,,,0.86,,,,0.55,16.93
2010-02-05,15.01,,,-1.72,,,,,,,,13.95,,-0.65,,,,,,,,15.0,,,,12.54,-1.24,,,23.06,-0.99,-0.31,,,,21.05,,,,,-1.69,,,,,3.21,,,,,13.59,,,,,,,1.85,,,,,,0.85,,,,0.53,16.91
2010-02-06,14.98,,,-1.7,,,,,,,,13.948,,-0.66,,,,,,,,14.98,,,,,-1.26,,,23.01,-1.02,-0.33,,,,21.06,,,,,-1.69,,,,,3.17,,,,,13.57,,,,,,,1.83,,,,,,0.84,,,,0.52,16.89
2010-02-07,14.99,,,-1.69,,,,,,,,13.944,,-0.65,,,,,,,,14.99,,,,12.54,-1.25,,,22.99,-1.01,-0.32,,,,21.07,,,,,-1.71,,,,,3.17,,,,,13.58,,,,,,,1.84,,,,,,,,,,0.52,16.92
2010-02-08,14.95,,,-1.7,,,9.87,,,4.1,,13.939,,-0.68,,,,,,,,15.0,,,,12.51,-1.27,,,22.94,-1.03,-0.33,,,,21.08,,,6.43,,-1.72,,,,,3.14,,,,,13.52,,,,,,,1.83,,,,,,0.84,,,10.07,0.4,16.91
2010-02-09,14.9,,,-1.7,,,,,,,,13.935,,-0.69,,,,,,,,14.98,,,,12.48,-1.29,-1.22,,22.87,-1.06,-0.33,,,,21.09,,,,,-1.73,,,,,3.1,,,,,13.48,,,,,,,1.82,,,,,,0.83,,,10.02,0.32,16.89
2010-02-10,14.85,,,-1.72,,,,,,,,13.934,,-0.7,,,,,,,,14.95,,,,12.47,-1.32,,,22.82,-1.09,-0.35,,,,21.1,,,,,-1.71,,,,,3.05,,,,,13.47,,,,,,,1.81,,,,,,0.82,,,9.99,0.26,16.87
2010-02-11,14.82,,,-1.74,,,,,,,,13.93,,-0.71,,,,,,,,14.93,,,,12.45,-1.32,,,22.79,-1.11,-0.36,,,,21.11,,,,,-1.73,,,,,3.05,,,,,13.44,,,,,,,,,,,,,0.81,,,9.97,0.22,16.85
2010-02-12,14.8,,,-1.72,17.74,,,,,,,13.931,,-0.71,,,,,,,,14.92,,,,12.44,-1.33,,,22.76,-1.12,-0.37,,,,21.11,,,,,-1.71,,,,,3.02,,,,,,,,,,,,,,,,,,0.8,,,9.96,0.19,16.84
2010-02-13,14.79,,,-1.72,,,,,,,,13.93,,-0.7,5.53,,,,,,,14.92,,,,12.44,,,,22.75,-1.11,,,,,21.13,,,,,-1.73,,,,,3.03,,,,,13.44,,,,,,3.94,,,,,-0.73,,,,,9.96,0.17,16.85
2010-02-14,14.77,,5.04,-1.73,,5.2,,,,,,13.931,,-0.71,,6.42,,12.47,,,,14.91,,,,12.43,,,,22.73,,-0.37,,,,21.13,,,,,-1.72,0.37,,,9.82,3.01,,,,,,,0.31,9.1,,10.57,,,,,,,,,7.73,,9.95,0.15,16.85
